年月別,機關別,全年度預算數/金額[千元],全年度預算數/百分比[%],累計分配數/金額[千元],累計分配數/占預算數[%],累計執行數/金額[千元],累計執行數/占預算數[%],累計執行數/占分配數[%]
98年2月,總計,153585978,100,37272397,24.27,32287229,21.02,86.63
98年2月,市議會,733919,0.48,218350,29.75,158618,21.61,72.64
98年2月,市政府,5017983,3.27,1546045,30.81,993226,19.79,64.24
98年2月,民政局,1233825,0.8,356821,28.92,287778,23.32,80.65
98年2月,財政局,6404233,4.17,340427,5.32,317894,4.96,93.38
98年2月,教育局,53507693,34.84,15561326,29.08,15005710,28.04,96.43
98年2月,產業發展局,6568749,4.28,1276013,19.43,700186,10.66,54.87
98年2月,工務局,18628102,12.13,2141626,11.5,1539501,8.26,71.88
98年2月,交通局,4586794,2.99,1330776,29.01,1068446,23.29,80.29
98年2月,社會局,13114540,8.54,2089882,15.94,1752518,13.36,83.86
98年2月,勞動局,6040522,3.93,1519050,25.15,1313172,21.74,86.45
98年2月,警察局,12697278,8.27,3502667,27.59,3011370,23.72,85.97
98年2月,衛生局,4322798,2.81,1104382,25.55,1070976,24.78,96.98
98年2月,環境保護局,6047380,3.94,1928464,31.89,1500697,24.82,77.82
98年2月,都市發展局,1178350,0.77,273661,23.22,245776,20.86,89.81
98年2月,文化局,1572163,1.02,391493,24.9,330750,21.04,84.48
98年2月,消防局,2307360,1.5,663844,28.77,561055,24.32,84.52
98年2月,翡翠水庫管理局,330438,0.22,54788,16.58,50267,15.21,91.75
98年2月,觀光傳播局,469368,0.31,64888,13.82,57400,12.23,88.46
98年2月,地政局,1111549,0.72,316761,28.5,289731,26.07,91.47
98年2月,兵役局,173856,0.11,51515,29.63,42263,24.31,82.04
98年2月,臺北自來水事業處,57351,0.04,27000,47.08,27000,47.08,100
98年2月,體育局,-,-,-,--,-,--,--
98年2月,資訊局,-,-,-,--,-,--,--
98年2月,法務局,-,-,-,--,-,--,--
98年2月,捷運工程局,-,-,-,--,-,--,--
98年2月,統籌支撥科目,6658750,4.34,2512618,37.73,1962896,29.48,78.12
98年2月,第二預備金,822978,0.54,-,-,-,-,--
98年3月,總計,153585978,100,45787296,29.81,39602359,25.79,86.49
